Active cases,death,death rate,recovery rate
245,1,0.408163265,99.59183673
405,3,0.740740741,99.25925926
417,2,0.479616307,99.52038369
424,2,0.471698113,99.52830189
409,3,0.733496333,99.26650367
359,2,0.557103064,99.44289694
364,2,0.549450549,99.45054945
231,2,0.865800866,99.13419913
354,3,0.847457627,99.15254237
389,1,0.257069409,99.74293059
366,2,0.546448087,99.45355191
357,1,0.280112045,99.71988796
339,2,0.589970501,99.4100295
325,2,0.615384615,99.38461538
257,1,0.389105058,99.61089494
340,2,0.588235294,99.41176471
338,1,0.295857988,99.70414201
322,3,0.931677019,99.06832298
313,2,0.638977636,99.36102236
318,2,0.628930818,99.37106918
306,3,0.980392157,99.01960784
230,1,0.434782609,99.56521739
301,2,0.664451827,99.33554817
298,2,0.67114094,99.32885906
329,1,0.303951368,99.69604863
315,2,0.634920635,99.36507937
220,1,0.454545455,99.54545455
296,1,0.337837838,99.66216216
249,2,0.803212851,99.19678715
315,2,0.634920635,99.36507937
336,1,0.297619048,99.70238095
324,1,0.308641975,99.69135802
380,1,0.263157895,99.73684211
500,3,0.6,99.4
255,1,0.392156863,99.60784314
173,1,0.578034682,99.42196532
208,2,0.961538462,99.03846154
244,1,0.409836066,99.59016393
258,1,0.387596899,99.6124031
247,1,0.4048583,99.5951417
239,2,0.836820084,99.16317992
248,1,0.403225806,99.59677419
170,0,0,100
216,2,0.925925926,99.07407407
220,1,0.454545455,99.54545455
245,1,0.408163265,99.59183673
214,2,0.934579439,99.06542056
220,1,0.454545455,99.54545455
201,1,0.497512438,99.50248756
162,1,0.617283951,99.38271605
207,2,0.966183575,99.03381643
218,1,0.458715596,99.5412844
187,1,0.534759358,99.46524064
176,1,0.568181818,99.43181818
201,1,0.497512438,99.50248756
190,2,1.052631579,98.94736842
162,1,0.617283951,99.38271605
183,2,1.092896175,98.90710383
196,1,0.510204082,99.48979592
184,1,0.543478261,99.45652174
168,1,0.595238095,99.4047619
104,1,0.961538462,99.03846154
111,1,0.900900901,99.0990991
122,1,0.819672131,99.18032787
208,2,0.961538462,99.03846154
202,1,0.495049505,99.5049505
191,1,0.523560209,99.47643979
183,1,0.546448087,99.45355191
193,1,0.518134715,99.48186528
207,2,0.966183575,99.03381643
135,1,0.740740741,99.25925926
179,2,1.117318436,98.88268156
190,1,0.526315789,99.47368421
186,1,0.537634409,99.46236559
171,1,0.584795322,99.41520468
174,2,1.149425287,98.85057471
168,1,0.595238095,99.4047619
121,1,0.826446281,99.17355372
160,2,1.25,98.75
167,1,0.598802395,99.4011976
156,1,0.641025641,99.35897436
106,1,0.943396226,99.05660377
151,2,1.324503311,98.67549669
164,1,0.609756098,99.3902439
122,2,1.639344262,98.36065574
161,1,0.621118012,99.37888199
173,1,0.578034682,99.42196532
164,1,0.609756098,99.3902439
153,2,1.307189542,98.69281046
172,1,0.581395349,99.41860465
157,1,0.636942675,99.36305732
105,1,0.952380952,99.04761905
148,2,1.351351351,98.64864865
167,1,0.598802395,99.4011976
148,1,0.675675676,99.32432432
144,1,0.694444444,99.30555556
137,1,0.729927007,99.27007299
134,1,0.746268657,99.25373134
103,1,0.970873786,99.02912621
137,2,1.459854015,98.54014599
153,1,0.653594771,99.34640523
156,1,0.641025641,99.35897436
